id	document	label
43	나를 돌아보고 앞으로 어떠한 자세로 살아가야할지 생각해보게 하는 책	1
44	칼세이건의 표현력이 훌륭하다	1
45	넷플릭스 기묘한이야기에도 언급되는 흥미로운 책입니다.	0
46	왜 필독인지 알수있어요	1
47	예전부터 읽고 싶던 책인데 정말 읽으면서 경이로움을 느꼈습니다	1
48	우주에 대한 이해를 흥미롭게 이끌어주는 책	1
49	재미있게 잘 읽었습니다.	1
50	넷플릭스 기묘한이야기에도 언급되는 흥미로운 책입니다.	0
51	왜 필독인지 알수있어요	1
52	예전부터 읽고 싶던 책인데 정말 읽으면서 경이로움을 느꼈습니다	1
53	우주에 대한 이해를 흥미롭게 이끌어주는 책	1
54	재미있게 잘 읽었습니다.	1
55	소장 가치 있는 책이에요 흥미로워요	1
56	지구에 인간으로 태어났다면 반드시 읽어 볼 가치가 있는 책이라 생각됩니다.	1
57	지구에 인간으로 태어났다면 반드시 읽을 가치가 있는 책입니다.	1
58	괜히 인기도서가 아니네요 흥미롭습니다	1
59	창백한 푸른점 우주과학에 대한 교양서	1
60	어려운 이야기를 쉽게 쓴다고 썼지만 여전히 어려웠다. 모든 내용을 완벽하게 이해하기는 어렵더라도 우주를 바라보는 올바른 관점을 얻을 수 있다. 어렵고 방대하지만 부담을 내려놓고 가볍게 읽기를 권한다.	1
61	우주 최고의 우주교과서.	1
62	과학과 인문이 적절하게 섞여서 재밌게 봤어요	1
63	재밌어요 여러번 읽어도 재밌네요	1
64	예전에 도서관에서 빌려서 읽었다가 제가 딱 원했던 내용이고 재미있고 흥미로워서 구매까지 하게 됐습니다. 두껍지만 한 챕터씩 읽는다 생각하면 크게 부담스럽디 않아요.	1
65	코스모스에 대한 여러가지 과학 사실들을 종합적으로 망라한 책입니다! 한번 정독하시는것을 추천드려요	1
66	예전에 아빠가 산 하드북이 오래돼서 아이가 새로 사달라고 구입 잘 읽지는 않지만 언젠가는 읽겠죠	1
67	보급판이지만 책이 너무 좋아요 우주는 정말 신비로워요	1
68	방학동안 정독하려고 미리 구매합니다.	1
69	우주를 사랑하는 사람들의 시선과 발자취를 따라 우주를 알아가니 좋네요.	1
70	기대다 되는 책입니다	1
71	포기하지 않고 끝까지 읽어볼게요	1
72	읽어보아야 할 책이라는 생각이듭니다	1
73	이해할수있을지 잘모르겠지만... 기대됩니다...	1
74	생각의 폭이 넓어지는 책입니다. 가만히 있으면 늘 하던대로만 하는데 세상의 여러면을 알고 변화할 수 있게 하네요	1
75	잘 정리되어 있는 도서라 구매하였습니다.	1
76	읽는 데 시간은 걸리지만 우주의 무한한 영역에 대한 수수께끼를 풀 수 있는 책입니다.	1
77	코스모스 두께만 보고 겁나지만 온가족이 한번 열심히 읽어보려 합니다	1
78	두고두고 천천히 읽어볼계획입니다	1
79	읽고 싶었던 책이라 구매했어요 어려운 주제라고 생각했는데 쉽게 읽히는 것 같아요	1
80	아이와 함께 읽기시작했어요 완독향해 고고!	1
81	배송이 무척 빨랐습니다. 잘 읽겠습니다.	1
82	진짜두껍긴해여ㅎㅎ잠올듯	1
83	책 읽는동안 경이로웠다	1
84	보급판으로 너무 벽돌책스럽지않고 가벼운느낌으로 다가와서 좋아요.	1
85	우리의 근원에 대해 다가갈 수 있는 책	1
86	고전이라길래 삿음 기대됨	1
87	좋아요 좋아요 좋아요 좋아요	1
88	좋아요 좋아요 좋아요 좋아요	1
89	"우주	 생명과 나 자신의 기원에 대한 탐구에 책. 어린 시절 매일 밤 하늘의 별을 보면 했던 생각들을 다시 떠올게했습니다. 저 별들은 어디에 있는것일까	 저곳은 어떤 세상일까	 내가 있는 이곳은 무엇일까	 나는 무엇일까.. 이제 이 책을 보고 또 생각을 해봅니다. 근원으로 내려가면 우주의 구성과 지구와 나의	 생명의 기원은 연결되어있고 같구나. 생명체만이 아니라 이 세상 모든 물질이 그 기원과 근원은 같은 것이 아닐까.. 그렇다면 우주 저 먼곳을 알고싶고 보고싶다."	1
90	새로운 사실들을 알 수 있어서 넘 좋았고 재미있어요.	1
91	동아리활동 책으로 선택했습니다. 너무 기대되네요!	1
92	이책을 이제야 읽다니...	1
93	책이 가볍고 좋아요	1
94	이 유명한 책을 이제야 읽네요	1
95	중학교시절의 tv 다큐 시청이 어렴풋이 생각나서 읽게 되었고 앤드오브타임처럼 물리학적 소양이 부족했지만 그래도 감명 깊게 읽었다.	1
96	과학을 좋아하는 중딩아들에게 선물했어요	1
97	누구에게나 유익한 도서입니다~~	1
98	"두껍지만	 왜 두꺼운지 읽다보면 알수있는 책. 그리고 책의 두께를 무시할 정도로 재밋게 읽히는 책"	1
99	정독하기에 좋은책입니다	1
100	중학교시절의 tv 다큐 시청이 어렴풋이 생각나서 읽게 되었고 앤드오브타임처럼 물리학적 소양이 부족했지만 그래도 감명 깊게 읽었다.	1
101	과학을 좋아하는 중딩아들에게 선물했어요	1
102	누구에게나 유익한 도서입니다~~	1
103	"두껍지만	 왜 두꺼운지 읽다보면 알수있는 책. 그리고 책의 두께를 무시할 정도로 재밋게 읽히는 책"	1
104	정독하기에 좋은책입니다	1
105	"140억 년의 우주역사를 담아내고 있다. 우주의 탄생부터 천문학·물리학의 역사	 달 탐사와 인공위성	 인류의 이주 행성 탐사에 이르기까지..."	1
106	책을 열기전까지는 몰랐습니다. 훌륭한 저서입니다	1
107	워낙 유명해서 기대돼요	1
108	한달 걸려 받았는데 표지와 내용이 거꾸로 인쇄돼있내요 교환 신청했으나 택배 파업이 언제 풀릴지 모른다며 임의 취소함 1:1문의 남겼으나 답변 없음 며칠째 몇시간씩 통화 시도 했으나 통화불능 검수없이 보내는게 한두번도 아님	0
109	좋은정보 감사합니다!	1
110	보급판으로 만났습니다.	1
111	필도서같은 코스모스 이번엔 정복해보려구요	1
112	명불허전입니다. 역시 많이 팔린 책은 이유가 있군요	1
113	보급판이라 좋아요.	1
114	"두께가.. wow...
잘 읽어보겠습니다"	1
115	좋습니다 책이 좋아요 감사합니다	1
116	방학동안 읽고 있습니다.	1
117	생각보다 잘 읽히고 재밌음	0
118	무척 읽고 싶었던 책인데 잘 읽겠습니다	1
119	"쉽게 책장이 넘어가는 책들과 달리 독서의 깊이	 희열을 느끼게 해주네요"	1
120	시간가는 줄 모르게 읽었네요. 두고두고 다시 읽고 싶은 책이네요...	1
121	재미있게 술술 읽히는 책입니다.	1
122	진작 읽어봤어야 했던 유명한 책.	1
123	책 두께가 상당하네요. 하나도 빠짐없이 읽으려고 합니다.	1
124	과학계 베스트셀러 코스모스 보급판이 있어 구매해봅니다	0
125	칼 세이건이 펼쳐 보이는 대우주의 신비	1
126	굉장히 많은 생각거리를 던져주는 책인거 같아요. 잊혀질만하면 또 읽을거에요!!	1
127	소장용으로 구매 했어요. 읽을수록 상식에 도움이 되네요.	1
128	어렵지만 다 읽고 나면 뿌듯해지는 동시에 나의 지식이 확장되는 느낌을 몸소 체험할 수 있다.	1
129	칼 세이건이 펼쳐 보이는 대우주의 신비.	1
130	어려운 책이라 고민했는데 6학년 생각보다 잘 읽어 나가네요	1
131	우주와 인간에 대한 장엄한 이야기	1
132	전설적 고전.칼 세이건의 코스모스는 대단하다. 영화도 추천.	1
133	보급판으로 나와서 두껍지만 가벼운 편이라 들고 다닐 수 있어 좋아요	1
134	"아주 오래전에 읽었지만...
단순한 우주	 별자리에 대한 이야기를 넘어서는 웅장하고 가슴 설레이기에 충분한..."	1
135	기대됩니다~ 아직 초반부 읽고 있는데 차근차근 정독할겁니다	1
136	좋은책 잘 읽어보겠습니다.	1
137	아이가 잘 읽고 있어요. 좋아요.	1
138	이렇게 훌륭한 책을 저렴하게 구입하게 해주셔서 감사합니다.	1
139	정말 좋아요 강추입니다	1
140	정독하겠습니다 유익할 것 같아요	0
141	우주와 인간에 대한 경이로움을 느낄 수 있다.	1
142	"칼 세이건 '코스모스' 오랜만에 과학분야 책을 보게되었는데	 좀 힘들지만 끝까지 정독합니다."	1
143	우리가 이 세상을 살면서 한번쯤 꼭 읽어봐야할 책이 아닐까합니다. 유명한 책은 그 이유가 있는 것 같습니다.	1
144	소장하기에도 좋은 책~	1
145	우주에 대한 궁금증과 상상력을 유발한다.	1
146	진짜 벽돌책이네요 양장본 사고싶었는데 너무 비싸서 대신구매했어요 너무 좋아요	1
147	이번에도 잘 받았어요 묵직한 책이지만 가독성좋고 유익해요~	1
148	질 읽어 보려구요 좋은 책입니다	1
149	중3아들이 재밌게 읽었대요^^	1
150	우주에 대한 궁금증과 상상력을 유발한다.	1
151	진짜 벽돌책이네요 양장본 사고싶었는데 너무 비싸서 대신구매했어요 너무 좋아요	1
152	이번에도 잘 받았어요 묵직한 책이지만 가독성좋고 유익해요~	1
153	질 읽어 보려구요 좋은 책입니다	1
154	중3아들이 재밌게 읽었대요^^	1
155	드디어 읽어보네요 잘 읽고 있습니다	1
156	책이 상당히 두꺼워요 기대 됩니다	1
157	상당히 두꺼운 책이네요 내용이 기대됩니다	1
158	"상당히 두껍지만..그래도 꼭 읽고싶은 그런 책 입니다.한 장	한 장 읽을수록 많은 배움을 얻어가는 책	 감사합니다"	1
159	아이가 티비보다가 사달래서구매했어요 과학에관심이 많은 녀석인데 찾아가며보네요	1
160	좋아요좋아요좋아요좋아요좋아요	1
161	조아요 재밌고 유익합니다	1
162	잘 읽어 보겠습니다 생각보다 많이 두껍네요	1
163	오랜만에 좋은책 읽게되어 기대 됩니다	1
164	우주에 대해서 정말 재밌있고 유익하게 담은 책이였습니다:)	1
165	책의 가독성이 너무 좋고 정말 최고의 책이라고 생각합니다!!	1
166	책이 후덜덜하게 두껍네요. 천천히 정독할 예정입니다	0
167	두껍지만 읽어봐야 하는 책	1
168	왜 이렇게 유명한 책임지 알게 되었습니다..!	1
169	영원한 고전 오래전에 읽고 다시 구입해서 또 읽은 책	1
170	여름방학동안 중학생아이 읽으라고 샀는데 잘 읽을지 모르겠네요~	1
171	"필독서이자 강력 추천하는 책.
의식의 크기가 커지고 과학이야기를 들으면서 철학을 생각하게 되는 정말 최고의 책. 인생에서 책을 5권만 꼽는다면 무조건 들어가게 되는 책. 수식어구는 너무나 많지만 읽어보지 않는다면 무슨 소용일까? 그 두꺼움에 놀랐지만 생각보다 쉬이 읽힌다.
쫄지말고 읽다보면 경이로움에 빠지고 다 읽고 나면 뭔가 바뀐 자신을 느끼게 된다. 정독으로 일독했지만 다시 한번 읽어야할 책입니다."	1
172	흥미로운 책이네요 꼭 읽어보세요^^	1
173	천문을 좋아해서 구매하였고 앞으로 사랑받는 책으로 되었으면 하네요 ..	1
174	"어려운 책이다	 올해 안에 다 읽을 수 있을지 미지수다.."	0
175	칼 세이건이 어떤사람인지 잘 알수있는 책입니다. 추천해요	1
176	두께가 좀 되서 오래읽고있어요	1
177	우주에 대한 생각이 두려움에서 하나씩 알아가는 기쁨으로 바꿔주는 기회를 제공합니다.	1
178	두꺼워서 읽기전에 멈칫했는데 읽기 시작하니까 너무 잘읽히고 내용도 좋아요!!	1
179	"선물을 하기 위해 세 권째 구입했습니다. 지구 과학이나 천문학에 별 관심이 없어서 중간 중간 읽기 힘든 부분도 있었지만	 책장을 덮을 때는 훌륭한 철학서를 읽은 것과 비슷한 감동이 밀려 왔습니다. 학창 시절에 이 책을 읽었더라면 어땠을지 여러 생각이 들었습니다. 너무 뻔한 평이겠지만 드넓은 우주에 한 점의 먼지 같은 존재로 살며 지구에 너무 악영향을 미치고 있는 것은 아닌지 반성하게 됩니다."	1
180	다 좋은데 새책이 아니라 누가 읽은책이 온것같아요. 책처음부터 끝까지 전체적으로 누런점같은거나 긁힌자국이 있어서 읽는내내 은근 신경쓰였어요.물티슈로 살살 문질러도 안지워지고.. 어차피 소장하면 앞으로 때탈테니까 무시하고 완독했어요. 책내용은 조금 어려웠지만 확실히 유익한 책인것 같아요. 양장본으로 하나 더 구입했어요.	0
181	유명한책 한권씩 있죠 다들	1
182	우주 지구 생명 인간 모두의 이야기로 쉽고 재미 있어요	1
183	워낙 유명한 책이라 샀는데 생각보다 두껍네요. 찬찬히 읽어보려고요.	0
184	우리는 코스모스에 존재한다	1
185	우주를 좋아했던 나에게 다시 한번 감동을 준다	1
186	잘 안읽힐까 걱정했는데 읽을만해요..	0
187	추천받아서 읽습니다. 과학에관심없는데 어렵지 않습니다	0
188	경이로운 우주의 세계	1
189	배송빨라서 좋았어요! 잘읽을께요~	1
190	재미있게 잘 읽힙니다~^^	1
191	5개월 전부터 읽어야지 읽어야지 했다가 드디어 읽게 되었다. 다소 두껍고 이해하기 어려운 부분도 있지만 소장할만한 가치가 있는 책이고 필독서라고 할만한 책이다.	1
192	"음. 정독하며 읽어도 쉽지 않은 부분도 있지만	 이렇게 생각하는 것도 있구나 하면 저자가 대단하게 느껴져요."	1
193	추천해요~~~~~~	1
194	"인간의 탄생을 우주(코스모스)에서 부터 찾아 인간사회의 평화를 위하여 지구를 아끼고 지켜야 하는 당위성을 담은 아름다운 서적	 코스모스 --&gt; 총균쇠 --&gt; 사피엔스 순으로 읽는것을 추천 드립니다."	1
195	우주 ㆍ천문ㆍ물리 의 궁긍증을 풀어주는 꼭추전하고싶은 코스모스 추천합니다	1
196	강박 완화에 도움이 될 거 같아요	1
197	"마음을 울리는 걸작	 내가 살아있을 때 읽을 수 있어서 다행인 책"	1
198	좋아요! 책 분실하여 다시 재구매 했슴다...	1
199	"코스모스..제목은 알고 있었지만 왠지 어려울것 같고 너무 두꺼워 포기할것 같아 몇년을 망설였는데.. 전혀그럴필요가 없었습니다. 글을 잘 쓰시고	 번역도 잘 해 주셔서 잘 읽혔고.. 우리가 우주에서의 위치가 어떻게 되는지 구체적으로 글씨로 확인하는순간..아..라는 깨우침이 왔습니다. 현재 세상 이슈들이 실현되는순간 우리도 그리 잘난 사람이 아님을 뒤늦게 후회할지도.. 정말 파충류 기질을 가지고 있나 의심도해보고..^^ 다방면에 많은 이야기를 해주셨고	 많은 가르침을 받았습니다. 이런 책을 놓치지 않고 읽어서 다행입니다. 도전하시길요~~"	1
200	우주 ㆍ천문ㆍ물리 의 궁긍증을 풀어주는 꼭추전하고싶은 코스모스 추천합니다	1
201	강박 완화에 도움이 될 거 같아요	1
202	"마음을 울리는 걸작	 내가 살아있을 때 읽을 수 있어서 다행인 책"	1
203	좋아요! 책 분실하여 다시 재구매 했슴다...	1
204	"코스모스..제목은 알고 있었지만 왠지 어려울것 같고 너무 두꺼워 포기할것 같아 몇년을 망설였는데.. 전혀그럴필요가 없었습니다. 글을 잘 쓰시고	 번역도 잘 해 주셔서 잘 읽혔고.. 우리가 우주에서의 위치가 어떻게 되는지 구체적으로 글씨로 확인하는순간..아..라는 깨우침이 왔습니다. 현재 세상 이슈들이 실현되는순간 우리도 그리 잘난 사람이 아님을 뒤늦게 후회할지도.. 정말 파충류 기질을 가지고 있나 의심도해보고..^^ 다방면에 많은 이야기를 해주셨고	 많은 가르침을 받았습니다. 이런 책을 놓치지 않고 읽어서 다행입니다. 도전하시길요~~"	1
205	좋아요 잘읽히네요 굿	1
206	교보문고 믿고 구매했는데 책 상태가 엉망이네요..	0
207	보급판으로 구매해서 유익한내용 잘읽었습니다.	1
208	아름 다운 봄에 행복을 더합니다♡	1
209	워낙 유명한 책이라 많은 설명이 필요 없을 것 같습니다. 읽으면서 꿈을 꾸는 기분이었어요.	1
210	칼세이건의 모든것이라는 생각이드는 책을 만난듯 합니다. 열심히 아껴 읽고 있어요. 칼세이건의 다양한 책을 연결해서읽어보려고 계획중입니다	1
211	학교에서 수행평가로 채택하게 되었는데 지금 읽기에는 조금 어려운 면이 있긴 하지만 유용하네요	1
212	말해뭐해.. 정말 좋네요	1
213	베스트셀러라 읽어보고 싶은 마음이 커서 구입해봤는데 책의 두께가 5cm도 넘는 방대한 양에 또한번 놀랐습니다. 짬짬이 잘 읽어보겠습니다	1
214	"우주에 관한 막연한 호기심이 들어서 집어들었는데	 사실 처음엔 엄청난 두께에 기겁했습니당... 근데 두께가 무색하게 술술술 잘 읽혀요! 고등 지구과학에서 배우는 내용 거의 수록돼 있어서 왜 청소년 권장도서라는지도 알겠고 진짜....진짜 재밌습니다 뼛속까지 문과인 저도 이해가 술술 돼요."	1
215	생각보다 책이 많이 두꺼워서 엄두가 안났는데 읽어보니 읽기 재밌어요 좋아요	0
216	학교 과학도서 활동시간에 읽는더ㆍ 정말 명작이네요	1
217	다양한 분야 꼭 필요한 도서	1
218	추천합니다.	1
219	드디어 샀다.	1
220	지금까지 읽어본적 없는 분야의 책이라 공부하는 느낌으로 읽고 있어요. 좋아요.	1
221	유용해요	1
222	우주는 우리와 같고 우리는 곧 우주다. 범아일여의 뜻이 여기에도 있네요.	1
223	추천해요!	1
224	원서로도 한번 읽고 싶네요	1
225	잘 읽을게요	0
226	여러번 사고 또 시간이 흘러 또 사서 다시 읽어도 전혀 아깝지 않은책~	1
227	이야기 듣는것처럼 술술 잘읽힙니다. 과학을 재밌게 접할 수 있어서 좋아요.	1
228	"흥미롭게 잘 읽고 있습니다.
책은 두껍지만 읽기에는 무리가 없습니다.
우주에 대해 다시 한 번 떠올려보는 시간이었습니다."	1
229	시작하기까지의 결심은 어렵지만 새로운 눈을 뜨게 해주는책	1
230	유용하게 잘 읽었습니다.	1
231	참 재밌습니다. 잘 읽혀요	1
232	창 재밌습니다	1
233	한번씩 호기심을 자극하기위해 읽기좋아요	1
234	아직모르겠어요	1
235	기대됩니다	1
236	모르던 사실을 알게되었다	1
237	아이가 무척 좋아합니아 어려울줄 알았는데 흥미진진하게 읽네요	1
238	훌륭한 기록	1
239	보급판도 괜찮아요.	0
240	책을 읽는 재미를 느낄 수 있게 해준 책입니다.	1
241	우주에 관심을 가지자 싸우지 말자	1
242	생각보다 아이가 무척 흥미진진해하며 재미있게 읽어요	1
243	재미있어요!	1
244	담임쌤이 추천해주신 책인데 어려워요.	1
245	좋아요.	1
246	잘 읽을게요	1
247	좋아요	1
248	소장하고 싶어서 구입했어요	1
249	문과출신으로 어렵겠지만 정독하고 있습니다!	1
250	좋아요.	1
251	잘 읽을게요	1
252	좋아요	1
253	소장하고 싶어서 구입했어요	1
254	문과출신으로 어렵겠지만 정독하고 있습니다!	1
255	좋아요~	1
256	우주의 신비함을 느낄 수 있다	1
257	좋아요.	1
258	"언제나 우주가 좋은 이유	 우주가 낭만적이고 아름답게 남아있을 수 있는 것은	 내가 가보지 못한 곳이기 때문에. 그렇기에 오늘도 우주를 꿈꾼다."	0
259	독서머리 공부법 에서 추천한 책인데 너무 두꺼워서 놀랬어요 아들은 매일 조금씩 읽고있어요	0
260	인류속... 칼 세이건이 있었기에 우주에 대한 갈증을 풀어 갈 수 있다. 지구에 있는 우리 모두는 소년이다. 칼세이건과 별을 통해 태초와 미래를 만나보자!	1
261	누구든지 필수 교양과학서적... 천문과학을 잘몰라도 우리의 삶에서 필독서... 유년시절 밤하늘을 보며 무한한 상상을 하던 답이 열린다. 우주 앞에서는 우리 모두는 소년이다. 지구도 대우주속에서는...	1
262	재밌을것같아요 둑겁네요ㅋ	1
263	읽고 싶은책 이었는데 재미있네요	1
264	좋은 책입니다. 재미있게 읽었습니다.	1
265	청소년들믜 독서능력을 향상시키는데 좋은책입니다	1
266	우주에 관심이 생겨서 읽게되었는데 재밌어요	1
267	우주에대해서 관심이 많았는대 쟈미도 있고 유익하기도 하고 무엇보다 새로운 시각을 가질수 있었습니다. 이책 추천해요^^	1
268	"아름다운 문장들	 그리고 보다 깊은 과학에 전반에 걸친 통찰력이 돋보이는 책"	1
269	워낙 유명한 책이라서 방학동안 예비고1 아들 읽으려고 구매했는데 책 두께가 엄청^^	1
270	좋아요!	1
271	잘 읽혀요~	1
272	우주의 신비를 몸과 마음으로 느낄 수 있는 필독서	1
273	오래전부터 읽어보려 했던 책입니다. 이번에 상품 배송받고 3일간 정독중입니다. 상상의 나래를 펼치며 읽는중입니다. 집중도 잘되니 꼭 읽어보세요~	1
274	어렵지만 볼먼해요 열심히 봐요	1
275	빠르게 받았습니다 아직 읽고있습니다	1
276	보급판도 괜찮아요	1
277	잘 읽었어요	1
278	우주의 탄생부터 생명체의 탄생까지... 예비 고등학생들은 꼭 읽어보길 추천합니다!	1
279	너무 유익했습니다 많은 분들께 추천드리니다	1
280	"과알못으로 도전해 봤는데	 전부 이해했다고 말하긴 어렵습니다. 그러나 필독서를 끝낸 뿌듯함이 있습니다"	1
281	재미있어요!!	1
282	깊이 있는 내용을 다루는데도 술술 잘 읽혀요. 섬세한 설명이 상상하는데 큰 도움이 됩니다.	1
283	아들이 구입해 달라해서 구입했는데 좋아합니다.	1
284	"천문학 교양 수업을 듣다가 교수님의 추천으로 읽어보게 되었습니다. 여타 천문학	 우주 관련 서적들과 다른 점은 저자의 문체가 상당히 문학적이라 모르는 분야의 이야기를 쉽게 받아들이게 해준다는 것입니다. 비전공자이고 과학에도 문외한이라 모르는 이론이 상당히 많은데도 어렵지 않게 읽을 수 있어서 좋았습니다."	1
285	어려워요ㅜ	0
286	우주의신비	1
287	내용이 흥미진진하고 좋아요	1
288	천문에 관한 역사를 읽기 쉽게 쓴 명작	1
289	책을 받아서 넘겨보는데 다섯페이지 정도 접혀서 왔네요 교환까지는 귀찮아서 그냥 읽는데 다음엔 책 확인 꼼꼼하게 부탁드려요	0
290	우주를 봅니다.	1
291	처음 읽을땐 이해가안됬지만 여러번읽어보니 정말 우주에대한 신비함이 생겨 너무 재미있었고 몇번계속 돌려 읽을생각입니다 정말 유용한책인것같습니다.	1
292	남편이 10년전에 읽었던 책 다시 읽어싶어해서 크리스마스 선물로 구매했어요. 워낙 유명한 책이라 잘 읽을게요~	1
293	언제나 짱이죠	1
294	두께는 두껍지만 글자크기가 크고 종이도 좋아서 잘 읽혀요.	1
295	"인류는 코스모스에서 태어났으며	 인류의 장차 운명도 코스모스와 깊게 관련되어 있다. 인류 진화의 역사에 있었던 대사건들 뿐 아니라	 아주 사소하고 하찮은 일들까지도 따지고 보면 하나같이 우리를 둘러싼 우주의 기운에 그 뿌리가 닿아 있다."	1
296	기대되는 책이예요!	1
297	good!	1
298	좋습니다.	1
299	내 것을 사고 제자에게 선물로 주려고 한 권을 더 구입했습니다. 유용한 선물이 될 거라고 믿습니다. ^^ 청소년들이 꼭 읽어 보았으면 합니다.	1
300	"인류는 코스모스에서 태어났으며	 인류의 장차 운명도 코스모스와 깊게 관련되어 있다. 인류 진화의 역사에 있었던 대사건들 뿐 아니라	 아주 사소하고 하찮은 일들까지도 따지고 보면 하나같이 우리를 둘러싼 우주의 기운에 그 뿌리가 닿아 있다."	1
301	기대되는 책이예요!	1
302	good!	1
303	좋습니다.	1
304	내 것을 사고 제자에게 선물로 주려고 한 권을 더 구입했습니다. 유용한 선물이 될 거라고 믿습니다. ^^ 청소년들이 꼭 읽어 보았으면 합니다.	1
305	코스모스는 코스모스를 정리했다	1
306	매장에 가서 작접 들고왔습니다. 양장본 보다 좀 더 맘 편히 볼 수 있어 좋네요^^	1
307	잘 읽고 너무 좋아 선물합니다	1
